trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
150,False,"{'a': 0.8, 'e': 0.47147873742168567}",25,0,-54.342941573306966,"{0: 21, 1: 0, 2: 2, 3: 1, 4: 1}",0
151,False,"{'a': 0.8, 'e': 0.46912134373457726}",25,0,-64.2150250104314,"{0: 18, 1: 2, 2: 4, 3: 0, 4: 1}",0
152,False,"{'a': 0.8, 'e': 0.46677573701590436}",25,4,23.72552401142044,"{0: 20, 1: 1, 2: 0, 3: 0, 4: 0}",1
153,False,"{'a': 0.8, 'e': 0.46444185833082485}",20,1,5.62612298223416,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 0}",1
154,False,"{'a': 0.8, 'e': 0.46211964903917074}",20,0,-2.573204834442219,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
155,False,"{'a': 0.8, 'e': 0.4598090507939749}",25,7,-56.447157457584915,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 2}",1
156,False,"{'a': 0.8, 'e': 0.457510005540005}",20,14,11.005797610862576,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
157,False,"{'a': 0.8, 'e': 0.45522245551230495}",20,0,-2.0573285069088882,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
158,False,"{'a': 0.8, 'e': 0.4529463432347434}",35,0,-24.09297379052271,"{0: 31, 1: 0, 2: 3, 3: 0, 4: 1}",0
159,False,"{'a': 0.8, 'e': 0.4506816115185697}",25,0,-61.30635281150681,"{0: 20, 1: 2, 2: 0, 3: 2, 4: 1}",0
160,False,"{'a': 0.8, 'e': 0.4484282034609769}",20,0,-43.5846336438716,"{0: 17, 1: 1, 2: 0, 3: 1, 4: 1}",0
161,False,"{'a': 0.8, 'e': 0.446186062443672}",25,0,7.705925832639087,"{0: 22, 1: 2, 2: 1, 3: 0, 4: 0}",0
162,False,"{'a': 0.8, 'e': 0.4439551321314536}",25,0,-34.20805137395912,"{0: 20, 1: 0, 2: 4, 3: 1, 4: 0}",0
163,False,"{'a': 0.8, 'e': 0.4417353564707963}",20,3,-39.05102030608659,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 1}",1
164,False,"{'a': 0.8, 'e': 0.43952667968844233}",20,9,-29.68503652980307,"{0: 8, 1: 0, 2: 2, 3: 1, 4: 0}",1
165,False,"{'a': 0.8, 'e': 0.43732904629000013}",20,0,20.98147452534506,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
166,False,"{'a': 0.8, 'e': 0.4351424010585501}",25,18,1.8621665278499617,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
167,False,"{'a': 0.8, 'e': 0.43296668905325736}",30,10,-106.48157277502212,"{0: 14, 1: 0, 2: 3, 3: 1, 4: 2}",1
